曽,29,6,5,0,0,0,2,29,9,0,0,0,0,0
豪,0,0,0,13,0,27,0,0,0,0,22,18,0,0
玲,0,0,0,35,1,4,0,0,0,0,4,33,2,1
瀧,31,0,8,0,0,0,2,37,0,0,0,0,0,0
助,0,0,0,0,0,39,0,0,0,0,0,21,18,0
滋,0,0,0,16,0,23,0,0,0,0,22,17,0,0
百,13,5,0,14,7,0,0,12,4,2,0,6,15,0
丹,33,0,4,1,0,0,1,36,0,0,0,1,0,0
記,0,0,1,5,1,31,0,1,0,0,0,34,3,0
禎,0,0,0,30,0,8,0,0,0,0,5,32,1,0
齊,36,0,1,1,0,0,0,37,0,0,0,0,1,0
條,0,0,38,0,0,0,0,38,0,0,0,0,0,0
磨,0,1,9,2,0,25,0,9,1,0,1,25,1,0
兼,14,0,4,15,0,4,0,18,0,0,0,19,0,0
鎌,35,0,1,1,0,0,0,36,0,0,0,1,0,0
紘,0,0,0,27,0,10,0,0,0,0,1,34,2,0
住,16,0,21,0,0,0,1,34,2,0,0,0,0,0
潔,0,0,0,3,0,34,0,0,0,0,33,4,0,0
鹿,25,0,11,0,0,0,0,32,4,0,0,0,0,0
至,0,0,0,4,1,31,0,0,0,0,4,30,2,0
育,0,0,0,32,0,4,0,0,0,0,0,36,0,0
阪,24,0,12,0,0,0,0,36,0,0,0,0,0,0
征,1,0,0,28,0,7,0,1,0,0,0,34,1,0
草,27,0,5,3,0,1,0,32,0,0,0,3,1,0
峰,9,0,8,13,0,5,2,15,0,0,0,17,1,0
﨑,2,0,33,0,0,0,0,35,0,0,0,0,0,0
弓,11,0,1,5,0,18,0,12,0,0,0,21,2,0
桐,15,0,18,2,0,0,0,31,2,0,0,2,0,0
沙,0,0,0,22,4,9,0,0,0,0,0,23,12,0
延,4,0,1,16,0,13,0,5,0,0,0,29,0,0
